requirement,clauses,implementation,test
FR-C1-01,,backend/apps/samples/models.py:122; backend/apps/samples/serializers.py:25,
FR-C1-09,,backend/apps/samples/models.py:126; backend/apps/samples/views.py:156,
FR-C1-13,,backend/apps/samples/models.py:130,
FR-C3-01,,backend/apps/samples/models.py:134; backend/apps/testing/serializers.py:73,
FR-C3-02,Blueprint Section 7.1,backend/apps/accounts/models.py:90; backend/apps/accounts/permissions.py:2; backend/apps/testing/ingestion.py:39; backend/apps/testing/models.py:140; backend/apps/testing/serializers.py:101; frontend/src/pages/TestRequestDetail.tsx:131; backend/apps/accounts/migrations/0002_initial.py:23; backend/apps/testing/migrations/0001_initial.py:141,backend/tests/test_testing_competency_and_oos.py::test_certified_analyst_can_enter_result
FR-C3-02,Blueprint Section 7.1,backend/apps/accounts/models.py:90; backend/apps/accounts/permissions.py:2; backend/apps/testing/ingestion.py:39; backend/apps/testing/models.py:140; backend/apps/testing/serializers.py:101; frontend/src/pages/TestRequestDetail.tsx:131; backend/apps/accounts/migrations/0002_initial.py:23; backend/apps/testing/migrations/0001_initial.py:141,backend/tests/test_testing_competency_and_oos.py::test_client_supplied_is_out_of_spec_is_ignored
FR-C3-02,Blueprint Section 7.1,backend/apps/accounts/models.py:90; backend/apps/accounts/permissions.py:2; backend/apps/testing/ingestion.py:39; backend/apps/testing/models.py:140; backend/apps/testing/serializers.py:101; frontend/src/pages/TestRequestDetail.tsx:131; backend/apps/accounts/migrations/0002_initial.py:23; backend/apps/testing/migrations/0001_initial.py:141,backend/tests/test_testing_competency_and_oos.py::test_expired_standard_reagent_is_rejected
FR-C3-02,Blueprint Section 7.1,backend/apps/accounts/models.py:90; backend/apps/accounts/permissions.py:2; backend/apps/testing/ingestion.py:39; backend/apps/testing/models.py:140; backend/apps/testing/serializers.py:101; frontend/src/pages/TestRequestDetail.tsx:131; backend/apps/accounts/migrations/0002_initial.py:23; backend/apps/testing/migrations/0001_initial.py:141,backend/tests/test_testing_competency_and_oos.py::test_out_of_spec_value_is_auto_flagged
FR-C3-02,Blueprint Section 7.1,backend/apps/accounts/models.py:90; backend/apps/accounts/permissions.py:2; backend/apps/testing/ingestion.py:39; backend/apps/testing/models.py:140; backend/apps/testing/serializers.py:101; frontend/src/pages/TestRequestDetail.tsx:131; backend/apps/accounts/migrations/0002_initial.py:23; backend/apps/testing/migrations/0001_initial.py:141,backend/tests/test_testing_competency_and_oos.py::test_uncertified_analyst_is_blocked_from_entering_a_result
FR-C3-02,Blueprint Section 7.1,backend/apps/accounts/models.py:90; backend/apps/accounts/permissions.py:2; backend/apps/testing/ingestion.py:39; backend/apps/testing/models.py:140; backend/apps/testing/serializers.py:101; frontend/src/pages/TestRequestDetail.tsx:131; backend/apps/accounts/migrations/0002_initial.py:23; backend/apps/testing/migrations/0001_initial.py:141,frontend/src/pages/EquipmentList.test.tsx:111 sends the CRM traceability reference and expiry the lab needs on file
FR-C3-03,,backend/apps/testing/views.py:129,
FR-C3-05,,backend/apps/testing/models.py:80,
FR-C3-06,,backend/apps/testing/views.py:129,
